Borough Name,Weekly pay,Total Crime
Barking and Dagenham,613,18505
Barnet,715,25938
Bexley,694,15436
Brent,646,29707
Bromley,819,22074
Camden,767,39088
Croydon,721,32375
Ealing,685,28751
Enfield,646,27049
Greenwich,750,25389
Hackney,763,30938
Hammersmith and Fulham,799,19662
Haringey,728,25932
Harrow,669,15061
Havering,711,18764
Hillingdon,690,26299
Hounslow,659,24305
Islington,811,27830
Kensington and Chelsea,810,21238
Kingston upon Thames,727,10287
Lambeth,797,35240
Lewisham,706,27844
Merton,722,12766
Newham,636,36959
Redbridge,669,21984
Richmond upon Thames,824,11153
Southwark,789,36158
Sutton,729,12017
Tower Hamlets,767,33731
Waltham Forest,718,23005
Wandsworth,843,23708
Westminster,843,81992