date,series,value
1989-01,inflationrate,5.7
1989-02,inflationrate,5.8
1989-03,inflationrate,5.9
1989-04,inflationrate,5.6
1989-05,inflationrate,5.9
1989-06,inflationrate,5.8
1989-07,inflationrate,5.7
1989-08,inflationrate,5.5
1989-09,inflationrate,5.7
1989-10,inflationrate,5.8
1989-11,inflationrate,5.7
1989-12,inflationrate,5.8
1990-01,inflationrate,5.9
1990-02,inflationrate,6.3
1990-03,inflationrate,6.2
1990-04,inflationrate,7.7
1990-05,inflationrate,8.2
1990-06,inflationrate,8.2
1990-07,inflationrate,8.2
1990-08,inflationrate,8.9
1990-09,inflationrate,9.2
1990-10,inflationrate,9.2
1990-11,inflationrate,9.2
1990-12,inflationrate,9.2
1991-01,inflationrate,8.6
1991-02,inflationrate,8.2
1991-03,inflationrate,8.3
1991-04,inflationrate,8.0
1991-05,inflationrate,7.5
1991-06,inflationrate,7.7
1991-07,inflationrate,7.5
1991-08,inflationrate,7.5
1991-09,inflationrate,6.9
1991-10,inflationrate,6.5
1991-11,inflationrate,6.5
1991-12,inflationrate,6.5
1992-01,inflationrate,6.2
1992-02,inflationrate,6.3
1992-03,inflationrate,6.2
1992-04,inflationrate,5.2
1992-05,inflationrate,5.1
1992-06,inflationrate,4.6
1992-07,inflationrate,4.5
1992-08,inflationrate,3.7
1992-09,inflationrate,3.7
1992-10,inflationrate,3.5
1992-11,inflationrate,3.3
1992-12,inflationrate,3.2
1993-01,inflationrate,3.0
1993-02,inflationrate,3.1
1993-03,inflationrate,3.2
1993-04,inflationrate,2.6
1993-05,inflationrate,2.3
1993-06,inflationrate,2.2
1993-07,inflationrate,2.3
1993-08,inflationrate,2.6
1993-09,inflationrate,2.7
1993-10,inflationrate,2.4
1993-11,inflationrate,2.1
1993-12,inflationrate,2.3
1994-01,inflationrate,2.6
1994-02,inflationrate,2.4
1994-03,inflationrate,2.2
1994-04,inflationrate,2.4
1994-05,inflationrate,2.4
1994-06,inflationrate,2.3
1994-07,inflationrate,2.1
1994-08,inflationrate,2.2
1994-09,inflationrate,1.9
1994-10,inflationrate,1.8
1994-11,inflationrate,2.1
1994-12,inflationrate,2.2
1995-01,inflationrate,2.4
1995-02,inflationrate,2.3
1995-03,inflationrate,2.4
1995-04,inflationrate,2.3
1995-05,inflationrate,2.6
1995-06,inflationrate,2.7
1995-07,inflationrate,2.8
1995-08,inflationrate,2.7
1995-09,inflationrate,3.0
1995-10,inflationrate,3.0
1995-11,inflationrate,2.9
1995-12,inflationrate,3.1
1996-01,inflationrate,2.9
1996-02,inflationrate,3.0
1996-03,inflationrate,3.0
1996-04,inflationrate,2.8
1996-05,inflationrate,2.8
1996-06,inflationrate,2.8
1996-07,inflationrate,2.7
1996-08,inflationrate,2.7
1996-09,inflationrate,2.7
1996-10,inflationrate,3.0
1996-11,inflationrate,3.1
1996-12,inflationrate,2.8
1997-01,inflationrate,2.6
1997-02,inflationrate,2.4
1997-03,inflationrate,2.2
1997-04,inflationrate,2.1
1997-05,inflationrate,2.1
1997-06,inflationrate,2.1
1997-07,inflationrate,2.4
1997-08,inflationrate,2.3
1997-09,inflationrate,2.2
1997-10,inflationrate,2.2
1997-11,inflationrate,2.1
1997-12,inflationrate,1.9
1998-01,inflationrate,1.8
1998-02,inflationrate,1.8
1998-03,inflationrate,1.9
1998-04,inflationrate,2.1
1998-05,inflationrate,2.2
1998-06,inflationrate,1.9
1998-07,inflationrate,1.7
1998-08,inflationrate,1.6
1998-09,inflationrate,1.7
1998-10,inflationrate,1.6
1998-11,inflationrate,1.7
1998-12,inflationrate,1.9
1999-01,inflationrate,2.0
1999-02,inflationrate,1.9
1999-03,inflationrate,2.1
1999-04,inflationrate,2.0
1999-05,inflationrate,1.7
1999-06,inflationrate,1.8
1999-07,inflationrate,1.7
1999-08,inflationrate,1.6
1999-09,inflationrate,1.6
1999-10,inflationrate,1.5
1999-11,inflationrate,1.5
1999-12,inflationrate,1.5
2000-01,inflationrate,1.2
2000-02,inflationrate,1.2
2000-03,inflationrate,1.0
2000-04,inflationrate,0.9
2000-05,inflationrate,1.0
2000-06,inflationrate,1.2
2000-07,inflationrate,1.2
2000-08,inflationrate,1.0
2000-09,inflationrate,1.3
2000-10,inflationrate,1.4
2000-11,inflationrate,1.5
2000-12,inflationrate,1.2
2001-01,inflationrate,1.2
2001-02,inflationrate,1.2
2001-03,inflationrate,1.3
2001-04,inflationrate,1.5
2001-05,inflationrate,1.9
2001-06,inflationrate,1.9
2001-07,inflationrate,1.7
2001-08,inflationrate,2.1
2001-09,inflationrate,1.7
2001-10,inflationrate,1.6
2001-11,inflationrate,1.2
2001-12,inflationrate,1.4
2002-01,inflationrate,1.8
2002-02,inflationrate,1.7
2002-03,inflationrate,1.7
2002-04,inflationrate,1.6
2002-05,inflationrate,1.2
2002-06,inflationrate,1.1
2002-07,inflationrate,1.4
2002-08,inflationrate,1.3
2002-09,inflationrate,1.2
2002-10,inflationrate,1.5
2002-11,inflationrate,1.6
2002-12,inflationrate,1.7
2003-01,inflationrate,1.4
2003-02,inflationrate,1.6
2003-03,inflationrate,1.6
2003-04,inflationrate,1.5
2003-05,inflationrate,1.3
2003-06,inflationrate,1.2
2003-07,inflationrate,1.3
2003-08,inflationrate,1.4
2003-09,inflationrate,1.3
2003-10,inflationrate,1.3
2003-11,inflationrate,1.3
2003-12,inflationrate,1.3
2004-01,inflationrate,1.5
2004-02,inflationrate,1.4
2004-03,inflationrate,1.2
2004-04,inflationrate,1.1
2004-05,inflationrate,1.4
2004-06,inflationrate,1.5
2004-07,inflationrate,1.4
2004-08,inflationrate,1.4
2004-09,inflationrate,1.2
2004-10,inflationrate,1.3
2004-11,inflationrate,1.5
2004-12,inflationrate,1.8
2005-01,inflationrate,1.7
2005-02,inflationrate,1.7
2005-03,inflationrate,2.0
2005-04,inflationrate,1.9
2005-05,inflationrate,1.9
2005-06,inflationrate,2.0
2005-07,inflationrate,2.3
2005-08,inflationrate,2.4
2005-09,inflationrate,2.5
2005-10,inflationrate,2.4
2005-11,inflationrate,2.2
2005-12,inflationrate,2.1
2006-01,inflationrate,2.2
2006-02,inflationrate,2.2
2006-03,inflationrate,2.0
2006-04,inflationrate,2.2
2006-05,inflationrate,2.4
2006-06,inflationrate,2.6
2006-07,inflationrate,2.5
2006-08,inflationrate,2.6
2006-09,inflationrate,2.5
2006-10,inflationrate,2.5
2006-11,inflationrate,2.8
2006-12,inflationrate,2.9
2007-01,inflationrate,2.7
2007-02,inflationrate,2.7
2007-03,inflationrate,2.9
2007-04,inflationrate,2.7
2007-05,inflationrate,2.5
2007-06,inflationrate,2.5
2007-07,inflationrate,2.0
2007-08,inflationrate,2.0
2007-09,inflationrate,2.0
2007-10,inflationrate,2.3
2007-11,inflationrate,2.2
2007-12,inflationrate,2.3
2008-01,inflationrate,2.4
2008-02,inflationrate,2.6
2008-03,inflationrate,2.6
2008-04,inflationrate,3.0
2008-05,inflationrate,3.3
2008-06,inflationrate,3.7
2008-07,inflationrate,4.2
2008-08,inflationrate,4.4
2008-09,inflationrate,4.8
2008-10,inflationrate,4.2
2008-11,inflationrate,3.8
2008-12,inflationrate,3.0
2009-01,inflationrate,2.9
2009-02,inflationrate,3.1
2009-03,inflationrate,2.8
2009-04,inflationrate,2.3
2009-05,inflationrate,2.1
2009-06,inflationrate,1.7
2009-07,inflationrate,1.6
2009-08,inflationrate,1.4
2009-09,inflationrate,1.0
2009-10,inflationrate,1.2
2009-11,inflationrate,1.5
2009-12,inflationrate,2.1
2010-01,inflationrate,2.6
2010-02,inflationrate,2.1
2010-03,inflationrate,2.4
2010-04,inflationrate,2.7
2010-05,inflationrate,2.5
2010-06,inflationrate,2.4
2010-07,inflationrate,2.3
2010-08,inflationrate,2.4
2010-09,inflationrate,2.4
2010-10,inflationrate,2.5
2010-11,inflationrate,2.6
2010-12,inflationrate,3.1
2011-01,inflationrate,3.4
2011-02,inflationrate,3.7
2011-03,inflationrate,3.5
2011-04,inflationrate,3.8
2011-05,inflationrate,3.8
2011-06,inflationrate,3.6
2011-07,inflationrate,3.8
2011-08,inflationrate,3.9
2011-09,inflationrate,4.5
2011-10,inflationrate,4.3
2011-11,inflationrate,4.1
2011-12,inflationrate,3.7
2012-01,inflationrate,3.2
2012-02,inflationrate,3.1
2012-03,inflationrate,3.1
2012-04,inflationrate,2.8
2012-05,inflationrate,2.5
2012-06,inflationrate,2.3
2012-07,inflationrate,2.4
2012-08,inflationrate,2.3
2012-09,inflationrate,2.1
2012-10,inflationrate,2.4
2012-11,inflationrate,2.4
2012-12,inflationrate,2.4
2013-01,inflationrate,2.4
2013-02,inflationrate,2.5
2013-03,inflationrate,2.5
2013-04,inflationrate,2.2
2013-05,inflationrate,2.4
2013-06,inflationrate,2.6
2013-07,inflationrate,2.5
2013-08,inflationrate,2.4
2013-09,inflationrate,2.4
2013-10,inflationrate,2.0
2013-11,inflationrate,1.9
2013-12,inflationrate,1.9
2014-01,inflationrate,1.8
2014-02,inflationrate,1.6
2014-03,inflationrate,1.5
2014-04,inflationrate,1.7
2014-05,inflationrate,1.5
2014-06,inflationrate,1.8
2014-07,inflationrate,1.6
2014-08,inflationrate,1.5
2014-09,inflationrate,1.3
2014-10,inflationrate,1.3
2014-11,inflationrate,1.1
2014-12,inflationrate,0.7
2015-01,inflationrate,0.5
2015-02,inflationrate,0.4
2015-03,inflationrate,0.3
2015-04,inflationrate,0.3
2015-05,inflationrate,0.4
2015-06,inflationrate,0.3
2015-07,inflationrate,0.5
2015-08,inflationrate,0.4
2015-09,inflationrate,0.2
2015-10,inflationrate,0.2
2015-11,inflationrate,0.4
2015-12,inflationrate,0.5
2016-01,inflationrate,0.6
2016-02,inflationrate,0.6
2016-03,inflationrate,0.8
2016-04,inflationrate,0.7
2016-05,inflationrate,0.7
2016-06,inflationrate,0.8
2016-07,inflationrate,0.9
2016-08,inflationrate,1.0
2016-09,inflationrate,1.3
2016-10,inflationrate,1.3
2016-11,inflationrate,1.5
2016-12,inflationrate,1.8
2017-01,inflationrate,1.9
2017-02,inflationrate,2.3
2017-03,inflationrate,2.3
2017-04,inflationrate,2.6
2017-05,inflationrate,2.7
2017-06,inflationrate,2.6
2017-07,inflationrate,2.6
2017-08,inflationrate,2.7
2017-09,inflationrate,2.8
2017-10,inflationrate,2.8
2017-11,inflationrate,2.8
2017-12,inflationrate,2.7
2018-01,inflationrate,2.7
2018-02,inflationrate,2.5
2018-03,inflationrate,2.3
2018-04,inflationrate,2.2
2018-05,inflationrate,2.3
2018-06,inflationrate,2.3
2018-07,inflationrate,2.3
2018-08,inflationrate,2.4
2018-09,inflationrate,2.2
2018-10,inflationrate,2.2
2018-11,inflationrate,2.2
2018-12,inflationrate,2.0
2019-01,inflationrate,1.8
2019-02,inflationrate,1.8
2019-03,inflationrate,1.8
2019-04,inflationrate,2.0
2019-05,inflationrate,1.9
2019-06,inflationrate,1.9
2019-07,inflationrate,2.0
2019-08,inflationrate,1.7
2019-09,inflationrate,1.7
2019-10,inflationrate,1.5
2019-11,inflationrate,1.5
2019-12,inflationrate,1.4
2020-01,inflationrate,1.8
2020-02,inflationrate,1.7
2020-03,inflationrate,1.5
2020-04,inflationrate,0.9
2020-05,inflationrate,0.7
2020-06,inflationrate,0.8
2020-07,inflationrate,1.1
2020-08,inflationrate,0.5
2020-09,inflationrate,0.7
2020-10,inflationrate,0.9
2020-11,inflationrate,0.6
2020-12,inflationrate,0.8
2021-01,inflationrate,0.9
2021-02,inflationrate,0.7
2021-03,inflationrate,1.0
2021-04,inflationrate,1.6
2021-05,inflationrate,2.1
2021-06,inflationrate,2.4
2021-07,inflationrate,2.1
2021-08,inflationrate,3.0
2021-09,inflationrate,2.9
2021-10,inflationrate,3.8
2021-11,inflationrate,4.6
2021-12,inflationrate,4.8
2022-01,inflationrate,4.9
2022-02,inflationrate,5.5
2022-03,inflationrate,6.2
2022-04,inflationrate,7.8
2022-05,inflationrate,7.9
2022-06,inflationrate,8.2
2022-07,inflationrate,8.8
2022-08,inflationrate,8.6
2022-09,inflationrate,8.8
2022-10,inflationrate,9.6
2022-11,inflationrate,9.3
2022-12,inflationrate,9.2
2023-01,inflationrate,8.8
2023-02,inflationrate,9.2
2023-03,inflationrate,8.9
2023-04,inflationrate,7.8
2023-05,inflationrate,7.9
2023-06,inflationrate,7.3
2023-07,inflationrate,6.4
2023-08,inflationrate,6.3
2023-09,inflationrate,6.3
2023-10,inflationrate,4.7
2023-11,inflationrate,4.2
2023-12,inflationrate,4.2
2024-01,inflationrate,4.2
2024-02,inflationrate,3.8
2024-03,inflationrate,3.8
2024-04,inflationrate,3.0
2024-05,inflationrate,2.8
2024-06,inflationrate,2.8
2024-07,inflationrate,3.1
2024-08,inflationrate,3.1
1989-01,unemploymentrate,7.7
1989-02,unemploymentrate,7.6
1989-03,unemploymentrate,7.4
1989-04,unemploymentrate,7.3
1989-05,unemploymentrate,7.2
1989-06,unemploymentrate,7.2
1989-07,unemploymentrate,7.1
1989-08,unemploymentrate,7.1
1989-09,unemploymentrate,7.1
1989-10,unemploymentrate,7.0
1989-11,unemploymentrate,7.0
1989-12,unemploymentrate,7.0
1990-01,unemploymentrate,6.9
1990-02,unemploymentrate,6.9
1990-03,unemploymentrate,6.9
1990-04,unemploymentrate,6.9
1990-05,unemploymentrate,6.9
1990-06,unemploymentrate,6.9
1990-07,unemploymentrate,7.0
1990-08,unemploymentrate,7.1
1990-09,unemploymentrate,7.2
1990-10,unemploymentrate,7.3
1990-11,unemploymentrate,7.5
1990-12,unemploymentrate,7.6
1991-01,unemploymentrate,7.8
1991-02,unemploymentrate,8.0
1991-03,unemploymentrate,8.2
1991-04,unemploymentrate,8.5
1991-05,unemploymentrate,8.7
1991-06,unemploymentrate,8.8
1991-07,unemploymentrate,9.0
1991-08,unemploymentrate,9.2
1991-09,unemploymentrate,9.3
1991-10,unemploymentrate,9.4
1991-11,unemploymentrate,9.5
1991-12,unemploymentrate,9.5
1992-01,unemploymentrate,9.6
1992-02,unemploymentrate,9.7
1992-03,unemploymentrate,9.8
1992-04,unemploymentrate,9.8
1992-05,unemploymentrate,9.8
1992-06,unemploymentrate,9.9
1992-07,unemploymentrate,9.9
1992-08,unemploymentrate,9.9
1992-09,unemploymentrate,10.1
1992-10,unemploymentrate,10.2
1992-11,unemploymentrate,10.4
1992-12,unemploymentrate,10.5
1993-01,unemploymentrate,10.7
1993-02,unemploymentrate,10.6
1993-03,unemploymentrate,10.6
1993-04,unemploymentrate,10.5
1993-05,unemploymentrate,10.4
1993-06,unemploymentrate,10.4
1993-07,unemploymentrate,10.3
1993-08,unemploymentrate,10.2
1993-09,unemploymentrate,10.3
1993-10,unemploymentrate,10.2
1993-11,unemploymentrate,10.3
1993-12,unemploymentrate,10.3
1994-01,unemploymentrate,10.1
1994-02,unemploymentrate,9.9
1994-03,unemploymentrate,9.8
1994-04,unemploymentrate,9.7
1994-05,unemploymentrate,9.7
1994-06,unemploymentrate,9.6
1994-07,unemploymentrate,9.5
1994-08,unemploymentrate,9.4
1994-09,unemploymentrate,9.3
1994-10,unemploymentrate,9.1
1994-11,unemploymentrate,9.0
1994-12,unemploymentrate,8.9
1995-01,unemploymentrate,8.9
1995-02,unemploymentrate,8.9
1995-03,unemploymentrate,8.8
1995-04,unemploymentrate,8.8
1995-05,unemploymentrate,8.7
1995-06,unemploymentrate,8.7
1995-07,unemploymentrate,8.6
1995-08,unemploymentrate,8.6
1995-09,unemploymentrate,8.6
1995-10,unemploymentrate,8.6
1995-11,unemploymentrate,8.3
1995-12,unemploymentrate,8.4
1996-01,unemploymentrate,8.3
1996-02,unemploymentrate,8.2
1996-03,unemploymentrate,8.3
1996-04,unemploymentrate,8.3
1996-05,unemploymentrate,8.3
1996-06,unemploymentrate,8.2
1996-07,unemploymentrate,8.1
1996-08,unemploymentrate,8.1
1996-09,unemploymentrate,8.1
1996-10,unemploymentrate,8.0
1996-11,unemploymentrate,7.8
1996-12,unemploymentrate,7.7
1997-01,unemploymentrate,7.5
1997-02,unemploymentrate,7.3
1997-03,unemploymentrate,7.2
1997-04,unemploymentrate,7.2
1997-05,unemploymentrate,7.2
1997-06,unemploymentrate,7.3
1997-07,unemploymentrate,7.1
1997-08,unemploymentrate,6.8
1997-09,unemploymentrate,6.7
1997-10,unemploymentrate,6.6
1997-11,unemploymentrate,6.5
1997-12,unemploymentrate,6.4
1998-01,unemploymentrate,6.4
1998-02,unemploymentrate,6.4
1998-03,unemploymentrate,6.3
1998-04,unemploymentrate,6.3
1998-05,unemploymentrate,6.3
1998-06,unemploymentrate,6.3
1998-07,unemploymentrate,6.3
1998-08,unemploymentrate,6.2
1998-09,unemploymentrate,6.2
1998-10,unemploymentrate,6.2
1998-11,unemploymentrate,6.1
1998-12,unemploymentrate,6.2
1999-01,unemploymentrate,6.2
1999-02,unemploymentrate,6.2
1999-03,unemploymentrate,6.2
1999-04,unemploymentrate,6.1
1999-05,unemploymentrate,6.0
1999-06,unemploymentrate,6.0
1999-07,unemploymentrate,5.9
1999-08,unemploymentrate,5.9
1999-09,unemploymentrate,5.8
1999-10,unemploymentrate,5.8
1999-11,unemploymentrate,5.8
1999-12,unemploymentrate,5.9
2000-01,unemploymentrate,5.8
2000-02,unemploymentrate,5.8
2000-03,unemploymentrate,5.7
2000-04,unemploymentrate,5.6
2000-05,unemploymentrate,5.5
2000-06,unemploymentrate,5.3
2000-07,unemploymentrate,5.3
2000-08,unemploymentrate,5.3
2000-09,unemploymentrate,5.4
2000-10,unemploymentrate,5.3
2000-11,unemploymentrate,5.2
2000-12,unemploymentrate,5.2
2001-01,unemploymentrate,5.2
2001-02,unemploymentrate,5.1
2001-03,unemploymentrate,5.0
2001-04,unemploymentrate,4.9
2001-05,unemploymentrate,5.0
2001-06,unemploymentrate,5.0
2001-07,unemploymentrate,5.1
2001-08,unemploymentrate,5.1
2001-09,unemploymentrate,5.1
2001-10,unemploymentrate,5.1
2001-11,unemploymentrate,5.2
2001-12,unemploymentrate,5.2
2002-01,unemploymentrate,5.1
2002-02,unemploymentrate,5.2
2002-03,unemploymentrate,5.2
2002-04,unemploymentrate,5.2
2002-05,unemploymentrate,5.2
2002-06,unemploymentrate,5.2
2002-07,unemploymentrate,5.2
2002-08,unemploymentrate,5.3
2002-09,unemploymentrate,5.2
2002-10,unemploymentrate,5.2
2002-11,unemploymentrate,5.1
2002-12,unemploymentrate,5.0
2003-01,unemploymentrate,5.1
2003-02,unemploymentrate,5.2
2003-03,unemploymentrate,5.1
2003-04,unemploymentrate,5.0
2003-05,unemploymentrate,4.9
2003-06,unemploymentrate,5.1
2003-07,unemploymentrate,5.1
2003-08,unemploymentrate,5.0
2003-09,unemploymentrate,5.0
2003-10,unemploymentrate,4.9
2003-11,unemploymentrate,4.9
2003-12,unemploymentrate,4.8
2004-01,unemploymentrate,4.8
2004-02,unemploymentrate,4.8
2004-03,unemploymentrate,4.8
2004-04,unemploymentrate,4.8
2004-05,unemploymentrate,4.8
2004-06,unemploymentrate,4.8
2004-07,unemploymentrate,4.7
2004-08,unemploymentrate,4.7
2004-09,unemploymentrate,4.7
2004-10,unemploymentrate,4.7
2004-11,unemploymentrate,4.7
2004-12,unemploymentrate,4.7
2005-01,unemploymentrate,4.8
2005-02,unemploymentrate,4.7
2005-03,unemploymentrate,4.7
2005-04,unemploymentrate,4.8
2005-05,unemploymentrate,4.8
2005-06,unemploymentrate,4.7
2005-07,unemploymentrate,4.7
2005-08,unemploymentrate,4.7
2005-09,unemploymentrate,4.9
2005-10,unemploymentrate,5.1
2005-11,unemploymentrate,5.1
2005-12,unemploymentrate,5.1
2006-01,unemploymentrate,5.2
2006-02,unemploymentrate,5.2
2006-03,unemploymentrate,5.3
2006-04,unemploymentrate,5.4
2006-05,unemploymentrate,5.5
2006-06,unemploymentrate,5.5
2006-07,unemploymentrate,5.5
2006-08,unemploymentrate,5.5
2006-09,unemploymentrate,5.5
2006-10,unemploymentrate,5.4
2006-11,unemploymentrate,5.5
2006-12,unemploymentrate,5.5
2007-01,unemploymentrate,5.5
2007-02,unemploymentrate,5.5
2007-03,unemploymentrate,5.5
2007-04,unemploymentrate,5.4
2007-05,unemploymentrate,5.4
2007-06,unemploymentrate,5.3
2007-07,unemploymentrate,5.3
2007-08,unemploymentrate,5.3
2007-09,unemploymentrate,5.2
2007-10,unemploymentrate,5.2
2007-11,unemploymentrate,5.2
2007-12,unemploymentrate,5.2
2008-01,unemploymentrate,5.2
2008-02,unemploymentrate,5.2
2008-03,unemploymentrate,5.3
2008-04,unemploymentrate,5.2
2008-05,unemploymentrate,5.4
2008-06,unemploymentrate,5.5
2008-07,unemploymentrate,5.7
2008-08,unemploymentrate,5.9
2008-09,unemploymentrate,6.0
2008-10,unemploymentrate,6.2
2008-11,unemploymentrate,6.4
2008-12,unemploymentrate,6.5
2009-01,unemploymentrate,6.7
2009-02,unemploymentrate,7.1
2009-03,unemploymentrate,7.3
2009-04,unemploymentrate,7.6
2009-05,unemploymentrate,7.8
2009-06,unemploymentrate,7.9
2009-07,unemploymentrate,7.9
2009-08,unemploymentrate,7.8
2009-09,unemploymentrate,7.9
2009-10,unemploymentrate,7.8
2009-11,unemploymentrate,7.8
2009-12,unemploymentrate,7.7
2010-01,unemploymentrate,7.9
2010-02,unemploymentrate,8.0
2010-03,unemploymentrate,8.0
2010-04,unemploymentrate,7.9
2010-05,unemploymentrate,7.9
2010-06,unemploymentrate,7.8
2010-07,unemploymentrate,7.8
2010-08,unemploymentrate,7.8
2010-09,unemploymentrate,7.9
2010-10,unemploymentrate,7.9
2010-11,unemploymentrate,7.9
2010-12,unemploymentrate,7.9
2011-01,unemploymentrate,7.8
2011-02,unemploymentrate,7.8
2011-03,unemploymentrate,7.7
2011-04,unemploymentrate,7.8
2011-05,unemploymentrate,7.9
2011-06,unemploymentrate,8.0
2011-07,unemploymentrate,8.2
2011-08,unemploymentrate,8.3
2011-09,unemploymentrate,8.4
2011-10,unemploymentrate,8.5
2011-11,unemploymentrate,8.4
2011-12,unemploymentrate,8.4
2012-01,unemploymentrate,8.3
2012-02,unemploymentrate,8.2
2012-03,unemploymentrate,8.2
2012-04,unemploymentrate,8.1
2012-05,unemploymentrate,8.0
2012-06,unemploymentrate,8.0
2012-07,unemploymentrate,7.9
2012-08,unemploymentrate,7.9
2012-09,unemploymentrate,7.9
2012-10,unemploymentrate,7.8
2012-11,unemploymentrate,7.8
2012-12,unemploymentrate,7.8
2013-01,unemploymentrate,8.0
2013-02,unemploymentrate,7.9
2013-03,unemploymentrate,7.8
2013-04,unemploymentrate,7.8
2013-05,unemploymentrate,7.8
2013-06,unemploymentrate,7.7
2013-07,unemploymentrate,7.7
2013-08,unemploymentrate,7.6
2013-09,unemploymentrate,7.4
2013-10,unemploymentrate,7.2
2013-11,unemploymentrate,7.2
2013-12,unemploymentrate,7.2
2014-01,unemploymentrate,6.9
2014-02,unemploymentrate,6.8
2014-03,unemploymentrate,6.6
2014-04,unemploymentrate,6.5
2014-05,unemploymentrate,6.3
2014-06,unemploymentrate,6.2
2014-07,unemploymentrate,6.0
2014-08,unemploymentrate,6.0
2014-09,unemploymentrate,6.0
2014-10,unemploymentrate,5.9
2014-11,unemploymentrate,5.7
2014-12,unemploymentrate,5.7
2015-01,unemploymentrate,5.6
2015-02,unemploymentrate,5.6
2015-03,unemploymentrate,5.5
2015-04,unemploymentrate,5.7
2015-05,unemploymentrate,5.6
2015-06,unemploymentrate,5.6
2015-07,unemploymentrate,5.4
2015-08,unemploymentrate,5.4
2015-09,unemploymentrate,5.2
2015-10,unemploymentrate,5.1
2015-11,unemploymentrate,5.1
2015-12,unemploymentrate,5.1
2016-01,unemploymentrate,5.2
2016-02,unemploymentrate,5.1
2016-03,unemploymentrate,5.1
2016-04,unemploymentrate,5.0
2016-05,unemploymentrate,5.0
2016-06,unemploymentrate,4.9
2016-07,unemploymentrate,5.0
2016-08,unemploymentrate,4.9
2016-09,unemploymentrate,4.9
2016-10,unemploymentrate,4.9
2016-11,unemploymentrate,4.8
2016-12,unemploymentrate,4.8
2017-01,unemploymentrate,4.7
2017-02,unemploymentrate,4.6
2017-03,unemploymentrate,4.6
2017-04,unemploymentrate,4.5
2017-05,unemploymentrate,4.5
2017-06,unemploymentrate,4.4
2017-07,unemploymentrate,4.4
2017-08,unemploymentrate,4.3
2017-09,unemploymentrate,4.3
2017-10,unemploymentrate,4.3
2017-11,unemploymentrate,4.4
2017-12,unemploymentrate,4.4
2018-01,unemploymentrate,4.3
2018-02,unemploymentrate,4.3
2018-03,unemploymentrate,4.3
2018-04,unemploymentrate,4.2
2018-05,unemploymentrate,4.1
2018-06,unemploymentrate,4.1
2018-07,unemploymentrate,4.1
2018-08,unemploymentrate,4.2
2018-09,unemploymentrate,4.1
2018-10,unemploymentrate,4.1
2018-11,unemploymentrate,4.1
2018-12,unemploymentrate,4.0
2019-01,unemploymentrate,4.0
2019-02,unemploymentrate,3.9
2019-03,unemploymentrate,3.9
2019-04,unemploymentrate,3.9
2019-05,unemploymentrate,4.0
2019-06,unemploymentrate,3.9
2019-07,unemploymentrate,4.0
2019-08,unemploymentrate,3.9
2019-09,unemploymentrate,3.9
2019-10,unemploymentrate,3.9
2019-11,unemploymentrate,3.9
2019-12,unemploymentrate,4.0
2020-01,unemploymentrate,4.1
2020-02,unemploymentrate,4.1
2020-03,unemploymentrate,4.2
2020-04,unemploymentrate,4.2
2020-05,unemploymentrate,4.2
2020-06,unemploymentrate,4.4
2020-07,unemploymentrate,4.7
2020-08,unemploymentrate,5.0
2020-09,unemploymentrate,5.2
2020-10,unemploymentrate,5.2
2020-11,unemploymentrate,5.3
2020-12,unemploymentrate,5.3
2021-01,unemploymentrate,5.2
2021-02,unemploymentrate,5.1
2021-03,unemploymentrate,5.0
2021-04,unemploymentrate,5.0
2021-05,unemploymentrate,4.8
2021-06,unemploymentrate,4.7
2021-07,unemploymentrate,4.6
2021-08,unemploymentrate,4.4
2021-09,unemploymentrate,4.3
2021-10,unemploymentrate,4.2
2021-11,unemploymentrate,4.2
2021-12,unemploymentrate,4.1
2022-01,unemploymentrate,4.0
2022-02,unemploymentrate,3.9
2022-03,unemploymentrate,4.0
2022-04,unemploymentrate,3.9
2022-05,unemploymentrate,3.9
2022-06,unemploymentrate,3.7
2022-07,unemploymentrate,3.6
2022-08,unemploymentrate,3.8
2022-09,unemploymentrate,3.9
2022-10,unemploymentrate,3.8
2022-11,unemploymentrate,3.9
2022-12,unemploymentrate,3.8
2023-01,unemploymentrate,3.9
2023-02,unemploymentrate,4.0
2023-03,unemploymentrate,3.9
2023-04,unemploymentrate,4.0
2023-05,unemploymentrate,4.2
2023-06,unemploymentrate,4.3
2023-07,unemploymentrate,4.2
2023-08,unemploymentrate,4.1
2023-09,unemploymentrate,4.0
2023-10,unemploymentrate,3.9
2023-11,unemploymentrate,3.8
2023-12,unemploymentrate,4.0
2024-01,unemploymentrate,4.2
2024-02,unemploymentrate,4.3
2024-03,unemploymentrate,4.4
2024-04,unemploymentrate,4.4
2024-05,unemploymentrate,4.2
2024-06,unemploymentrate,4.1
2024-07,unemploymentrate,4.0
2024-08,unemploymentrate,4.3
